kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3a.1.sm_70.ptx 284 : 65536 217613952 786432 0 0 24576 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 285 : 65536 2042080 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 307 : 65536 599328 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 308 : 65536 598656 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 309 : 65536 267680 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 310 : 65536 612160 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 311 : 65536 464896 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 312 : 65536 462976 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 314 : 8454144 55819360 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 315 : 8454144 386400 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 316 : 8388608 84056608 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 317 : 8388608 83940160 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 318 : 8388608 83967328 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 319 : 8388608 77130720 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 320 : 8388608 59898272 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 322 : 65536 599104 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 323 : 65536 598048 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 324 : 65536 266336 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 325 : 65536 611264 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 326 : 65536 465664 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 327 : 65536 461056 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 329 : 8454144 55857600 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 330 : 8454144 389056 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 331 : 8388608 84060800 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 332 : 8388608 83937184 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 333 : 8388608 83979584 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 334 : 8388608 76990880 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 335 : 8388608 59467424 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 337 : 65536 598592 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 338 : 65536 597792 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 339 : 65536 265280 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 340 : 65536 611296 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 341 : 65536 466080 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 342 : 65536 462880 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 344 : 8454144 56060480 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 345 : 8454144 387200 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 346 : 8388608 84064864 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 347 : 8388608 83938208 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 348 : 8388608 83985856 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 349 : 8388608 76921280 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 350 : 8388608 59458752 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 352 : 65536 599168 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 353 : 65536 599136 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 354 : 65536 264640 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 355 : 65536 614880 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 356 : 65536 465472 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 357 : 65536 461760 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 368 : 65536 598400 0 0 0 0 0 0 0 
stream_fma_v6_variant3a.1.sm_70.ptx 369 : 65536 264192 0 0 0 8192 2048 0 0 
