kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stream_fma_v6_variant3.1.sm_70.ptx 346 : 8388608 83889728 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 347 : 8388608 83887584 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 348 : 8388608 83887200 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 349 : 8388608 77582400 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 350 : 8388608 63353856 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 352 : 65536 598080 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 353 : 65536 591936 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 354 : 65536 263264 0 0 0 8192 2048 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 355 : 65536 613600 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 356 : 65536 469568 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 357 : 65536 478208 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 368 : 65536 592096 0 0 0 0 0 0 0 
stream_fma_v6_variant3.1.sm_70.ptx 369 : 65536 262912 0 0 0 8192 2048 0 0 
